state,x,y
Abia,-50,-154
Adamawa,166,1
Akwa Ibom,-37,-177
Anambra,-78,-123
Bauchi,49,64
Bayelsa,-114,-185
Benue,-5,-76
Borno,196,132
Cross River,-4,-134
Delta,-113,-153
Ebonyi,-30,-120
Edo,-122,-107
Enugu,-31,-120
Gombe,111,60
Imo,-71,-151
Jigawa,31,146
Kaduna,42,63
Kano,-5,119
Kebbi,-196,126
Kogi,-91,-53
Kwara,-205,17
Lagos,-217,-109
Nassarawa,-27,-23
Niger,-133,37
Ogun,-237,-88
Ondo,-160,-87
Osun,-180,-64
Oyo,-223,-34
Plateau,37,11
Sokoto,-149,181
Taraba,84,-45
Yobe,122,147
Zamfara,-104,133
Abuja,-69,-6
Katsina,-51,158
